label,term,tf-idf
"[우버, 캐나다서 대마초 배달 개시]1",대마초,0.31787555601434136
"[지갑엔 현금 줄고, 거리엔 CCTV… 소매치기가 사라졌다]1",소매치기,0.3169166553928803
"[코다 페이먼츠, 결제 솔루션 '코다샵'으로 韓 진출]1",코다,0.30227494896288787
[정태수 아들 몸담았던 `한보그룹`은…IMF 외환위기 촉발한 진원지]1,한보,0.30084583108289653
"[영월, 강원도 최초 카드형 지역화폐 '별빛고운카드' 발행]1",영월,0.27084956875943844
"[픽션, 블록체인 후원 개시…창작자 수익활동 보장]1",픽션,0.2664377150728167
[1만원권 지폐의 수명은 10년…5천원권은 43개월]1,수명,0.25935331210643864
"[쉽고, 투명하고… 모바일 블록체인 서비스로 기부할래요]1",기부,0.2576391926114837
"[중국 트럭 공유앱 '만방', 연간 화물처리액 120조원 육박]1",만방,0.2510574129440474
['최대 1000원' 티몬 타임적립금 받는 방법은?]1,적립금,0.24920608694639215
[티몬타임적립금 받는 방법은?…최대 1000원 지급]1,적립금,0.24766301520059406
[대한항공-아시아나 합병하면 마일리지는?…카드사의 계산]1,마일리지,0.24736772336969545
"[본업도 버린 美 남성...""도지코인은 내 저축통장""]1",도지,0.24403693019263242
['힘의 공백' 속 IS·알카에다…내전 공포에 휩싸이는 아프간]1,탈레반,0.24195268307319406
[美Fed 이사 “디지털달러 도입 회의적”… 비트코인 가격 단숨에 4만 달러 회복]1,월러,0.24077434208420126
"[페이팔, 日 선구매 후지불 업체 페이디 3조원대 인수]1",페이디,0.2386967417890914
"[빗썸, 상장사 '비티원' 인수완료…암호화폐 신사업 확대 ]1",비티,0.2376791263147318
[가장 오래 살다가는 '1만원권'…유통수명 121개월]1,수명,0.23715640701624796
"[싸이월드 도토리, 페이코인으로 산다]1",싸이월드,0.23499916474262464
[간편결제 '컬리페이' 나온다]1,컬리,0.23015109965291178
"[동국제강, 27개 협력사와 공정거래협약 체결]1",동국제강,0.2252119469635289
"[이바돔감자탕, 서울 구로역점 신규오픈]1",감자탕,0.22071258408866462
"[중국 트럭 공유앱 '만방', 연간 화물처리액 120조원 육박]1",트럭,0.21973261597534974
"[""세뱃돈 얼마짜리로?""…만원권 수명이 가장 길다 ]1",수명,0.21710813343343108
"[이바돔감자탕, 서울구로역점 오픈…24시 운영 돌입]1",감자탕,0.21628222199929362
"[페이팔, 日 선구매 후지불 업체 3.1조에 인수]1",페이디,0.21623116609129453
[한국지급결제학회장 김선광 교수]1,학회,0.21562508475061276
"[페이팔, 이스라엘 보안저장업체 커브 인수…총 5억달러 투자]1",커브,0.21549574119202347
"[[속보] 이주열 ""금융위의 지급결제 규제는 한은 영역 건드리는 문제""]1",본문,0.21549574119202347
"[[속보] 이주열 ""지급결제 시스템 관리는 중앙은행 고유 기능…예외 없다""]1",본문,0.21549574119202347
"[암호화폐 파생상품 거래소 백트, 3225억 규모 시리즈B 투자 유치]1",백트,0.21481719089452267
[못 가니까 비싼 걸로… 20만원 이상 고가 추석 선물세트 '인기']1,세트,0.21444677772628476
['10만권 자기앞수표 사라졌다'…5만원권 발행후 사실상 퇴출]1,앞수표,0.20941151568461297
"[다이너스카드, 현대카드 결별 후 BC카드와 손잡는다]1",다이너스,0.20840980772922968
"[케이에스넷, 단비코리아와 `Wi-Fi AD 솔루션` 계약 체결]1",공유기,0.20816420312121822
"[플럭스(FLUX) 재단, ㈜노틸러스와 업무 제휴]1",플럭스,0.2069814519671204
"[케이에스넷, 단비코리아와 `Wi-Fi AD 솔루션` 계약 체결]1",단비,0.20578499072844575
"[""독자님, 기사 보고 돈 버세요""…블록체인 올라탄 언론사]1",퍼블리시,0.20537400335046022
"[""저소득 근로자위해 카드 소득공제 유지되야""]1",연행,0.20480853017825187
"[""만원짜리 수명 5년""…천원·오천원 보다 훨씬 긴 이유]1",수명,0.2015086798655802
['법인식별기호 규제감독위' 총회 30~31일 서울서 개최]1,기호,0.19830896428713818
"[중소 가맹점, 추석기간 카드대금 3일 앞당겨 받는다]1",연휴,0.19693546616663124
[[연천소식]연천사랑상품권 모바일 간편결제 서비스 시행 등]1,연천군,0.1950606099907398
"[美 맞춤형 결제카드 발급사 '마르케타', 160억달러에 상장 신청]1",마르케타,0.19486091649156828
[디지털화폐(CBDC) 성장하면 블록체인 뜬다?]1,디시,0.1945800702730913
"[핀테크산업협회, 회원사 시너지·규제완화에 팔걷는다]1",분과,0.19422054537721056
"[이집트에 '현금 없는 사회' 이식한다...정부, 전자금융 KSP사업 완료]1",이집트,0.1941739167866368
"[페이팔, 日 선구매 후지불 업체 '페이디' 인수]1",페이디,0.1906602605576767
[「법인식별기호 규제감독위원회(LEI  ROC*) 총회」 개최]1,기호,0.19056366207105982
[`율곡이이` 5천원권 유통수명 49개월 `가장 짧아`]1,수명,0.19029658683472425
"[빗썸 지주사, 코스피 상장사 인수완료..암호화폐 금융 박차]1",비티,0.18979977205259518
"[이바돔감자탕, 서울구로역점 오픈…24시 운영 돌입]1",이바돔,0.18904652482340017
"[금융결제원 상임고문 '셀프 위촉' 논란…""7명 전부 원장 출신""]1",고문,0.18847688927522424
[그많던 500원짜리는 다 어디로 갔을까?…코로나에 사라진 동전들]1,동전,0.18716299690567684
"[""저소득 근로자위해 카드 소득공제 유지되야""]1",정관용,0.18699909277144738
[[그래픽뉴스]간편결제 대세…상반기 전자거래↑]1,노컷뉴스,0.18516419788108848
"[카카오뱅크, 채널·상품파트 `1차조직` 확대]1",조직,0.18506570156525864
"[""기브어클락,블록체인 기부로 촘촘한 사회안전망 만든다""]1",기부,0.18499513328347458
"[북한 쌀값, 남한 쌀값보다 쌀까? 비쌀까?…남북한 화폐 적절한 교환비율은 [안정식 기자와 평양 함께 걷기]]1",북한,0.18414060756285114
[[국감 2020]자문 1~3건에 1억원 이상 특혜…전관예우 `끝판왕` 어디?]1,고문,0.18332144741250692
"[블록체인 플랫폼 아르고, 인앱 결제 기능 탑재]1",아르고,0.18270630017946118
"[한은 “디지털화폐 도입 시기 단언 어렵지만, 철저히 준비”]1",디시,0.18236543021643978
"[전자영수증 발급되나요?… 식당 ""그게 뭐야"" 카페 ""앱 깔아야""]1",영수증,0.18153845514788786
['힘의 공백' 속 IS·알카에다…내전 공포에 휩싸이는 아프간]1,아프간,0.18146451230489558
"[[뉴스하이킥] ""5만 원권 다 어딨냐고요? 우리 집 금고에 있습니다""]1",홍춘욱,0.18132692974884349
"[위메프 장바구니특가, 만원 쿠폰 2번 지급! 결제 할 때 펑펑 사용! 7만 원 구매 시 7,000원 할인]1",장바구니,0.18069014595216853
"[핀테크 업계, 디지털산업 진흥 위해 '나인 홀(분과)' 잔디 깐다]1",분과,0.18043106632290815
"[금융결제원, 아르메니아와 '자금이체 시스템 수출' 협의]1",아르메니아,0.18023386109933445
